@relation all-weka.filters.unsupervised.attribute.NominalToString-Cfirst-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute text string
@attribute class {-1,1}

@data
'düðümünde bir þartla altin istemem damat medcezirin tum sezonunu 2 kere izlerse  ?_ ?',-1
'keþke en büyük kavgamiz ben daha çok seviyorum olsaydi',-1
'aðzýný burnunu kemirmek istersin ya öyle bi þey yani',-1
'sanki boþa yaþýyormuþ gibi hissediyorum',-1
'yalnýzlýk ayný havayý soluyupta bir türlü yan yana olamamak gibidir aldýðýn her nefeste onun kokusunu duymak istersin',-1
'ufuk beni gorucu usulu evlendiriyo yardim edin',-1
'iyi o zaman',-1
'sadece up yaptik hayallerimizi satmadik ya',-1
'ya sen malsýn berna',-1
'ya bu kadar boþ olduðunu bilseydim seni sever miydim gerizeka  ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?',-1
'beni sevmeni beklemek kiþisel bi intihar',-1
'10k kullanici takip etsem bile takipcim 20k olmaz aq',-1
'ihale bizde kaldý  ? ? palmiye restaurant & cafe in tuzla istanbul httpstcoxgdelwb9yb httptcoiglpd0v48c',-1
'kokun vardý geçmiþi unutturan',-1
'sensiz yarim kalir sözlerim ',-1
'millilerden kalack kontnjan ekatamasizbesyonun hakkdýr oranimz dahiverilmedi adaletyerinibulmadi yusuf__tekin hmzaydg 7',-1
'ulan benim gibi adam tiyatroya zorla getiriliyor aq',-1
'maskeler indi kimin ne olduðunu anladýk',-1
'efendisizc nin kendin yasindaki kiza ablacim demesi kadar saçma',-1
'ulaaa bune firtina amk kafama odun dusuyodu',-1
'millilerden kalack kontnjan ekatamasizbesyonun hakkdýr oranimz dahiverilmedi adaletyerinibulmadi yusuf__tekin hmzaydg 8',-1
'ulan insan sevdiðini aglatýr mý be  ?',-1
'aman o üzülmesin aman bu kýrýlmasýn diye paramparça olduk',-1
'kim mutlu edebilir seni sen hazýr deðilsen ?',-1
'görüpte görmemis gibi davranmak en kötüsü iþte',-1
'seni benden baþka çevrimiçi yapan nedenlerin aminakoyim',-1
'millilerden kalack kontnjan ekatamasizbesyonun hakkdýr oranimz dahiverilmedi adaletyerinibulmadi yusuf__tekin hmzaydg 9',-1
'ne soðuk var ya ? ? beykoz sahili in istanbul türkiye httpstcozsihvuoald',-1
'benim kendimi bulduðum yer dudaklarýn o yüzden nefesine bu derece muhtaçlýðým',-1
'anca girebildim mk happybirthdayharrystyles',-1
'httptcogjsce6rweh httptco7dshenxlkd güzel baþlýk  ! peki kaçý akp li  ?',-1
'zirvede olmayý hedeflemeyin orasý iniþin baþlangýcýdýr',-1
'insanlaragüvenmiyorumçünkü hiçbiri bunu haketmiyor hatta haketmek için bile çabalamýyor',-1
'bugun gayeyle yaptimiz dedikoduyla cennetin c si haram bized',-1
'sen bile bilemezsin gülüþün bende kaç bahar eder',-1
'kýyýlarýma vuran sen misin ?',-1
'güven o bunu yapmaz demek deðildir güven o bunu yaptýysa bir bildiði vardýr diyebilmektir',-1
'yine kettle a ikininbesyüz kere basýp tekrar tekrar kaynatýp hala çay içemeyiþimle hesaplaþmaktayken yemek yemeye karar verdim',-1
'ama yapamazsýn aldýðýn her nefes ciðerini acýtmaya baþlar',-1
'kraldan çok kralcý var dikmen in ankara türkiye httpstconyklppjstj',-1
'ruhumuzla bedenimizin arasýna sýkýþan eylemlerimiz var bizim',-1
'her gün bir gün daha kaybediyoruz',-1
'amýný damýný yurdunu sikiyim',-1
'yine d&r da kendimi kaybettim',-1
'10 kýzý birden idare eden ortalikta adamim diye gezme amk mali',-1
'çinlilerin daha keþfetmedigini düþündüðüm en ala iþkencedir bence tül ütülemek',-1
'gitmek kadar imkansýz kalmak bana ýzdýrap',-1
'solun spesifik yukselisi para baronlarinin para musluklarini kismasindandiryoksa kendileri dahi iktidar beklemiyorlardi',-1
'susmaktan baþka bir þeyim yoksa benim konuþmam küstahlýk olmaz mý ?',-1
'çok aciyo be harbiden cok aciyo cok cok',-1
'kimse istemedði bir þeye zorlanmaz',-1
'kul ölümü unutur ama ölüm kulu unutmaz',-1
'sefaköyün köpegi bitmez zaten ',-1
'her gün bir gün daha kaybediyoruz',-1
'yýpratýlmýþ kadýnlarý sevmek lazýmdý belki de þýmartýlmýþlarý deðil',-1
'sevgilisi olanlar tweet atmasýn hatta twittera girmesin burasý yalnýzlarin yeri',-1
'bidaha deðiþik tatlar denersem vurun beni',-1
'torbacilarin içine düþtük amk esenyurt in istanbul türkiye httpstcoof6hyxywfe',-1
'boþverdim artýk tüm gülüþümlerimi  ? ? httptcohjc4dn6tpt',-1
'kollarýmý ve bacaklarýmý hissetmiyorum yea s',-1
'zira eboue engin gokhan gibi para alip bosta duran isimler hala takimda yonetim becerisi isi bos cikti aysali elestirmek kolay sonuc nerde',-1
'hiç alýþamadým gülmeye ',-1
'hüzün vicdanýma daha uygun',-1
'valla bende herkes yaþýyo diye yaþýyorum',-1
'simayý vuracaðým  ? ? ? ?',-1
'sadece sýkýlan ben miyim  ?',-1
'evetsizden çirkin kiþilerin de sevgilileri olabiliyorhani bazý insanlar içe bakýyor ya ondan',-1
'kötü söz söyleyeni rezil eder kime söylemiþse onuda vezir eder vesselam',-1
'iki adimlik yere gelemedin bi ömur bnmle nasil olcakkk ',-1
'ah yalan dünya',-1
'gecen sene bugun singapurda kaybolmuþtuk hayat cok garip',-1
'ne zamanki annemle konuþsak mevzu dönüp dolaþýp evliliðe geliyor  ? ?',-1
'ben aptal mal kelimesini çok kullanýrým ama sebdigimden ama sana cidden aptalsýn dersen artýk sana yapcak biþey yok  ? ? ? ? ? ?',-1
'telefonumla sarj makinem bir birine çok sýký baðlanmýþlar kimse ayýramýyo',-1
'sömestr pek kesmedi bir an önce yaz tatili gelsin  ? httptcof4uzkx6ryt',-1
'yanlýs tivik atýyorum neden',-1
'insaný yýkan inanmak deðil ki inanamamak ',-1
'ne demek internet paketim bitiyor ?',-1
'bir kadýný az sevmekle çok sevmek arasýnda gidip geliyordumhiç sevmemeye karar verdim',-1
'keþke tatilde sakaryaya gidecek olsaydým özledim çünkü ve sýkýldým burdan',-1
